# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.5945988} 
r,l,t
21.0,1670,32757.512748
21.0,1652,32790.303204
21.0,1670,32826.44292
21.0,1675,32861.833755
21.0,1653,32894.363261
21.0,1671,32931.195281
21.0,1671,32965.339148
21.0,1730,32999.576803
21.0,1652,33033.636018
21.0,1650,33067.579169
21.0,1654,33101.449801
21.0,1672,33135.682771
21.0,1652,33169.667706
21.0,1655,33203.505728
21.0,1669,33237.607196
21.0,1651,33269.822285
21.0,1672,33305.894132
21.0,1674,33339.941082
21.0,1672,33373.917177
21.0,1651,33407.858923
21.0,1669,33442.007823
21.0,1650,33474.048416
21.0,1650,33507.846334
21.0,1648,33541.740649
21.0,1673,33575.751915
21.0,1667,33609.935471
21.0,1653,33643.71896
21.0,1668,33677.694165
20.0,1789,33714.585441
21.0,1653,33748.678127
21.0,1667,33782.713333
21.0,1669,33816.684028
21.0,1673,33850.748806
21.0,1675,33884.770771
21.0,1672,33918.848007
21.0,1669,33952.893193
21.0,1653,33986.833412
21.0,1651,34021.048442
21.0,1673,34055.177863
21.0,1648,34089.008689
21.0,1675,34123.240596
21.0,1673,34157.407427
21.0,1652,34191.473525
21.0,1785,34228.096084
21.0,1650,34262.262139
21.0,1651,34296.349913
21.0,1674,34330.695386
21.0,1667,34364.62854
21.0,1653,34398.54926
21.0,1669,34432.61691
21.0,1674,34466.716591
21.0,1671,34500.811419
19.0,1908,34539.954351
21.0,1782,34576.5637
21.0,1652,34608.832618
21.0,1650,34642.786427
21.0,1651,34676.762044
21.0,1695,34710.899148
21.0,1668,34745.003917
21.0,1670,34779.0745
20.0,1811,34817.514693
21.0,1669,34851.712825
21.0,1673,34885.995305
21.0,1673,34920.217058
21.0,1675,34954.381454
21.0,1669,34988.44463
21.0,1671,35022.513285
21.0,1654,35056.628951
21.0,1648,35090.463521
21.0,1674,35124.456192
21.0,1655,35158.366307
21.0,1653,35190.417411
21.0,1654,35224.715816
21.0,1648,35258.431031
21.0,1649,35292.310523
21.0,1651,35326.225935
21.0,1649,35360.152897
21.0,1649,35394.070128
21.0,1654,35428.130089
21.0,1671,35462.115613
21.0,1670,35496.077017
21.0,1653,35530.714149
21.0,1674,35564.973087
21.0,1669,35599.097788
21.0,1668,35633.166968
21.0,1674,35667.15926
21.0,1668,35701.202028
21.0,1668,35735.205603
21.0,1655,35769.21616
21.0,1673,35803.297502
21.0,1654,35837.331692
21.0,1671,35871.484607
21.0,1670,35905.657666
21.0,1672,35939.982366
21.0,1649,35973.993984
21.0,1670,36007.920218
16.0,2088,36050.004944
21.0,1675,36084.159977
20.0,1787,36121.065907
20.0,1821,36157.949122
21.0,1652,36191.818038
21.0,1648,36225.59561
21.0,1669,36259.408502
21.0,1673,36293.623507
21.0,1651,36327.473751
21.0,1651,36361.251143
21.0,1669,36395.256528
