# {"t_start": 1579667593.5519605, "env_id": "PongNoFrameskip-v4"} 
r,l,t
21.0,1653,36045.082908
21.0,1668,36079.178653
21.0,1649,36113.439223
21.0,1670,36147.558331
21.0,1671,36181.596452
21.0,1672,36215.563061
21.0,1650,36249.251293
21.0,1651,36283.061357
21.0,1671,36317.260868
21.0,1673,36351.171183
21.0,1650,36385.032259
21.0,1673,36419.416637
